channel;function;factor;note;fn;src0;op0;src1;op1;src2;op2;src3;op3;generator;fn2;src4;op4;src5;op5;src6;op6;src7;op7
;;GR_COMBINE_FACTOR_ONE_MINUS_DETAIL_FACTOR;(1-beta)*a_other+beta*a_local;add4;constant;1-a;previous;a;previous;a;texture;a;beta;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_LOD_FRACTION;(1-lambda)*a_other+lambda*a_local;add4;constant;1-a;previous;a;previous;a;texture;a;lambda;;;;;;;;;
alpha;GR_COMBINE_FUNCTION_SCALE_OTHER_MINUS_LOCAL_ADD_LOCAL_ALPHA;GR_COMBINE_FACTOR_ZERO;a_local;replace;texture;a;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_LOCAL;;invalid;;;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_OTHER_ALPHA;;invalid;;;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_LOCAL_ALPHA;;invalid;;;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_DETAIL_FACTOR;;invalid;;;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_LOD_FRACTION;;invalid;;;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE;a_other;replace;previous;a;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_LOCAL;;invalid;;;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_OTHER_ALPHA;;invalid;;;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_LOCAL_ALPHA;;invalid;;;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_DETAIL_FACTOR;;invalid;;;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_LOD_FRACTION;;invalid;;;;;;;;;;;;;;;;;;
alpha;GR_COMBINE_FUNCTION_SCALE_MINUS_LOCAL_ADD_LOCAL;GR_COMBINE_FACTOR_ZERO;a_local;replace;texture;a;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_LOCAL;(1-a_local)*a_local;modulate;texture;1-a;texture;a;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_OTHER_ALPHA;(1-a_other)*a_local;modulate;previous;1-a;texture;a;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_LOCAL_ALPHA;(1-a_local)*a_local;modulate;texture;1-a;texture;a;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_DETAIL_FACTOR;(1-beta)*a_local;modulate;constant;1-a;texture;a;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_LOD_FRACTION;(1-lambda)*a_local;modulate;constant;1-a;texture;a;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE;0;replace;previous;a;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_LOCAL;a_local*a_local;modulate;texture;a;texture;a;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_OTHER_ALPHA;a_other*a_local;modulate;previous;a;texture;a;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_LOCAL_ALPHA;a_local*a_local;modulate;texture;a;texture;a;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_DETAIL_FACTOR;beta*a_local;modulate;constant;a;texture;a;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_LOD_FRACTION;lambda*a_local;modulate;constant;a;texture;a;;;;;;;;;;;;;;
alpha;GR_COMBINE_FUNCTION_SCALE_MINUS_LOCAL_ADD_LOCAL_ALPHA;GR_COMBINE_FACTOR_ZERO;0;replace;previous;a;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_LOCAL;;invalid;;;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_OTHER_ALPHA;;invalid;;;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_LOCAL_ALPHA;;invalid;;;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_DETAIL_FACTOR;;invalid;;;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_LOD_FRACTION;;invalid;;;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE;0;replace;previous;a;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_LOCAL;;invalid;;;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_OTHER_ALPHA;;invalid;;;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_LOCAL_ALPHA;;invalid;;;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_DETAIL_FACTOR;;invalid;;;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_LOD_FRACTION;;invalid;;;;;;;;;;;;;;;;;;
